country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Korea (South),1991,5.6,330647042837.334,7636.9480638849,76.4,67.9,72.0463414634,25.2086111008,69.7633471837,5.0280417155,49.1478561325,43295704.0,10836049.0,25.028
Kuwait,1991,2.579,11009993703.1474,8147.1080732984,77.547,71.822,74.216,35.1223935797,62.8344267069,2.0431797135,43.7491074065,1351399.0,27190.0,2.012
Latin America & Caribbean,1991,6.8387581362,1030856096218.64,2558.6840431539,70.9471217178,64.657617197,67.718899323,36.3077541497,59.1393413154,4.5529045349,50.334913712,402885264.0,120641455.0,29.9443707457
Lao PDR,1991,13.063,1028087972.31085,231.8062275481,55.783,53.124,54.46,43.8781497897,52.6773980622,3.4444521481,49.7746170451,4435118.0,3735168.0,84.218
Lebanon,1991,5.199,4690415092.53663,1278.4212574563,72.497,69.744,71.176,36.497967722,59.3396953457,4.1623369323,50.6100308184,3668912.0,606398.0,16.528
Liberia,1991,21.006,348000000.0,177.8670065903,44.802,40.872,42.795,44.1791233201,52.8167131608,3.0041635191,50.2312782198,1956518.0,821738.0,42.0
Libya,1991,4.524,31991821264.7118,7039.833919706,72.306,67.715,69.82,40.7218159407,56.4079368462,2.8702472131,45.6425811202,4544400.0,1100790.0,24.223
Saint Lucia,1991,5.999,613703703.703704,4398.6790689772,72.858,68.265,70.602,38.0794868119,56.4288274083,5.4916857798,50.6368308259,139520.0,98261.0,70.428
Latin America & Caribbean (excluding high income),1991,6.7108655622,1190363679873.93,2650.3825905794,71.4059121047,65.1441095775,68.1941364882,35.9850350543,59.3462552453,4.6687097004,50.3242828976,449128999.0,129208311.0,28.7704868612
Least developed countries: UN classification,1991,15.7611391921,207546935444.788,389.6896027474,51.6670747633,49.2674641781,50.4236879768,44.3880821113,52.3930977931,3.2188200956,50.062922808,532595517.0,415834570.0,78.0769943061
Liechtenstein,1991,6.4,1484160302.14952,50811.7464531317,83.51034482758621,78.4551724137931,80.92111017662414,18.9029492631,71.0111515276,10.0858992093,50.1758939855,29209.0,24296.0,83.179
Sri Lanka,1991,6.086,9000362581.58086,546.2925155709,77.205,67.304,71.751,32.0624015746,62.1824138705,5.7551845549,49.6608600738,16475354.0,13424118.0,81.48
Low & middle income,1991,9.2887075593,3189515731314.77,762.900985155,64.6521079626,60.7705317682,62.6492713274,36.2389331421,59.3011253166,4.4599415413,49.41666522,4180772857.0,2738288955.0,65.5286268814
Lesotho,1991,10.081,704325366.718393,382.2912477391,63.438,55.33,59.193,42.8922992751,52.9384434306,4.1692572943,51.1791005,1842379.0,1574737.0,85.473
Late-demographic dividend,1991,7.2064275462,1981024709881.36,1060.3512274522,71.2818694105,65.6768530355,68.3995054488,29.3632481134,64.7680009677,5.8687509189,49.7898688756,1868272190.0,1131484006.0,60.5631241758
Lithuania,1991,11.1,35993893305.48992,12006.79389614052,75.86,65.13,70.3641463415,22.5089374785,66.4080488301,11.0830136914,52.6886795511,3704134.0,1202992.0,32.477
Luxembourg,1991,9.7,13834219728.293,35747.3377992066,79.1,72.0,75.4634146341,17.5773039965,68.9840415494,13.4386544542,50.9323530248,387000.0,73027.0,18.87
