country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Early-demographic dividend,1996,8.6164976404,2767603354482.59,1192.2724933166,64.2910603427,61.5438136637,62.8732795817,37.9896497048,57.9012588077,4.1090914875,49.1171803843,2321284245.0,1463966448.0,63.0670910546
East Asia & Pacific (excluding high income),1996,6.7285815215,8104052553434.499,4124.5564114836,72.6988615318,67.8299165359,70.204168104,27.8200089261,65.7592918983,6.4206991756,49.4028619327,1964830092.0,1211225946.0,61.6453276497
Europe & Central Asia,1996,9.6337042108,326484068631.104,1511.4856262363,71.9346835318,63.4702983822,67.5741293477,29.1998122477,62.6704021043,8.1297856481,51.4878506482,216002099.5,90667364.5,42.4009467792
Europe & Central Asia (excluding high income),1996,10.8053556763,11095956526287.3,12886.1908991448,76.4217398291,68.2470125618,72.2105321278,21.296293947,65.936496092,12.7672099611,51.7124327502,861073424.5,272815030.5,31.7631327769
Ecuador,1996,5.275,25226393196.5983,2135.8479374308,74.541,68.277,71.362,36.7726193394,58.9380980759,4.2892825848,49.9996189976,11810950.0,4927883.0,41.723
Egypt,1996,6.836,67629716981.132095,1008.9763762945,68.751,64.68,66.742,38.9051960755,57.1579907862,3.9368131383,49.2934689072,67028048.0,38419807.0,57.319
Euro area,1996,9.8380155337,7629500965928.131,23652.3520841413,80.6843388488,73.7805424273,77.1446176906,17.1189705286,67.4873828226,15.3936466487,51.3489857745,322568383.0,90468950.0,28.0464404686
Eritrea,1996,11.635,693535954.1900672,325.8387053716,57.152,54.356,55.756,42.9182734592,54.0978376895,2.9838888513,50.8693123304,2128464.0,1632681.0,76.707
Spain,1996,8.8,642251412058.3209,16100.6215831114,81.88,74.54,78.1204878049,16.1133858344,68.5046155599,15.3819986057,50.9295524835,39889852.0,9598296.0,24.062
Estonia,1996,13.4,4786018988.16491,3380.926302432,75.4,64.1,69.612195122,20.2590037577,65.819596543,13.9213996993,53.4659324574,1415594.0,423107.0,29.889
Ethiopia,1996,16.317,8761215548.48614,147.327458852,49.872,47.998,48.924,46.8912085802,50.4431406223,2.6656507976,50.2719252245,59467635.0,51138598.0,85.994
European Union,1996,10.2471148772,8433442480253.409,19754.8396788627,79.5517817826,72.4770852578,75.924011965,17.8276547941,67.340637047,14.8317081589,51.3687822883,426905134.0,126932501.0,29.7331868432
Fragile and conflict affected situations,1996,14.4415998186,466440941348.014,819.8058934859,56.3417648855,51.8706062229,54.0352455941,41.8179254675,54.0797601079,4.1023144247,50.4538644682,568965099.0,360530357.0,63.6084474353
Finland,1996,9.6,131991975148.848,25756.6777073618,80.54,73.03,76.6934146341,18.9313691792,66.6703319101,14.3982989108,51.2899836791,5124573.0,962241.0,18.777
Fiji,1996,5.985,2128696643.62574,2648.32766264,68.853,64.218,66.408,36.6089629188,60.303474977,3.0875621043,49.559959691,803789.0,431779.0,53.718
France,1996,9.1,1598889216566.23,26757.6351494145,82.0,74.1,77.9536585366,19.3207486423,65.349688732,15.3295626257,51.4986354552,59754504.0,14889627.0,24.918
Faroe Islands,1996,9.1,989536914.659081,22706.2164905709,81.0,74.3,77.5682926829,23.791792109,62.5381986101,13.6700092808,48.3317488343,43580.0,28405.0,65.178
"Micronesia, Federated States of",1996,5.626,218534700.0,1973.9382169632,72.065,65.835,68.776,42.5266799445,54.0404929975,3.432827058,49.6689579175,110710.0,83616.0,75.527
Gabon,1996,10.545,5694040002.89863,4942.6787002762,61.67,59.539,60.612,42.0357807841,52.7493999644,5.2148192515,50.7209541542,1152015.0,280470.0,24.346
United Kingdom,1996,10.9,1419645865834.63,24406.400298359,79.7,74.6,77.087804878,19.4150430632,64.5912931133,15.9936638235,51.6158476351,58166950.0,12556499.0,21.587
Georgia,1996,10.652,3094935186.76896,689.0344136526,73.42,64.325,68.974,24.5538073149,64.2981232241,11.148069461,53.8505124383,4491699.0,2084148.0,46.4
Ghana,1996,10.513,6932991739.37767,389.2712678988,57.918,55.724,56.82,43.8963297482,53.2254177196,2.8782525321,50.2366539678,17810181.0,10526529.0,59.104
Guinea,1996,16.551,5641243099.766609,726.0254425838,51.173,49.88,50.544,43.8946414012,52.0571593307,4.0481992681,50.529650192,7770035.0,5456896.0,70.23
Gambia,1996,12.751,848239446.21576,651.7849457248,58.193,53.946,56.009,46.7377510785,49.8830691776,3.3791797438,50.4850504568,1301410.0,725432.0,55.742
Guinea-Bissau,1996,17.572,702965147.568054,614.7298924546,51.071,47.088,49.065,45.2382742986,50.6432684614,4.11845724,51.4394399822,1143535.0,746248.0,65.258
Equatorial Guinea,1996,15.044,232463022.80296096,391.6868682357,53.331,50.157,51.727,43.0986432842,53.407965061,3.4933916548,50.4798716748,593492.0,343116.0,57.813
Greece,1996,9.5,142502984144.96,13432.5262183244,80.4,75.1,77.6853658537,16.9029799207,67.2258582716,15.8711618077,50.7425109365,10608800.0,2945109.0,27.761
Grenada,1996,6.836,366911444.444444,3508.294236637,74.999,69.633,72.331,33.5954830567,58.6418572631,7.7626596803,49.7576087892,104584.0,68279.0,65.286
Greenland,1996,7.9,1197515569.08202,21422.4609853672,68.4,63.26,65.7673170732,27.5835282773,67.8012107359,4.6152609868,46.5678571429,55900.0,10565.0,18.9
Guatemala,1996,7.33,15674835615.3139,1481.0598675067,68.468,61.502,64.863,44.6997983139,51.6543989378,3.6458027483,50.1892752945,10583526.0,5927939.0,56.011
Guam,1996,4.791,5169142857.142858,31427.982330473384,76.209,70.339,73.092,30.5373284397,64.7475348214,4.715136739,48.1458115648,152169.0,11737.0,7.713
Guyana,1996,7.977,705406001.424501,927.5238472117,66.731,60.066,63.205,36.4355722224,59.721758362,3.8426694156,50.320962071,760526.0,539608.0,70.952
"Hong Kong, SAR China",1996,5.0,159718183550.734,24818.3021600084,82.67,76.73,79.6275609756,18.5499829908,71.1992801546,10.2507368547,50.4385349029,6435500.0,0.0,0.0
Honduras,1996,5.728,5215028986.486489,883.3112497974,69.695,65.336,67.439,44.493334467,52.5201415865,2.9865239465,49.6579495128,5903954.0,3339158.0,56.558
Heavily indebted poor countries,1996,15.114731945,154144307318.465,357.6376457383,52.4806968027,49.1448698337,50.7828800876,45.9106682674,51.1715406518,2.9177910808,50.3977456801,431006940.0,312256466.0,72.4481295663
Croatia,1996,11.1,24150978346.525295,5299.6410536193,76.76,68.18,72.3653658537,17.736463568,68.0978055143,14.1657309177,51.9853696568,4557097.0,2164211.0,47.491
Haiti,1996,11.648,2907517603.7671895,377.229465026,57.638,54.647,56.154,41.4130768024,54.9938391633,3.5930840343,50.3997894015,7707557.0,5148648.0,66.8
Hungary,1996,13.9,46658755151.60169,4525.0391031224,74.79,66.08,70.3287804878,17.8987811868,67.7553123182,14.345906495,52.2556901488,10311238.0,3600375.0,34.917
IBRD only,1996,7.8638242805,5370411866159.34,1420.5760892304,69.3747265336,64.7261898212,66.965287091,31.7909751467,62.5521875408,5.6568373125,49.5029180308,3780446473.0,2207117911.0,58.382466794
IDA & IBRD total,1996,8.9497703465,5923939075697.93,1232.5621605169,66.4897680486,62.2987265287,64.3173920919,34.3265975905,60.5313469184,5.1420554912,49.5768783285,4806199042.5,2948899851.5,61.3838729279
IDA total,1996,12.952062027,555470881472.529,541.5252157187,55.9311159774,53.2904506685,54.5585293194,43.6717215604,53.0834691057,3.2448093339,49.8494615567,1025752569.5,741781940.5,72.469096287
IDA blend,1996,12.9087319063,310420030319.796,914.5615470039,55.8585195485,53.4069602997,54.5774663049,44.1710136934,52.5621754091,3.2668108975,49.4045365898,339419508.0,229098577.0,67.497174449
Indonesia,1996,7.541,227369679374.97296,1118.9213302413,66.867,63.858,65.355,32.7124753076,62.6952179259,4.5923067665,49.9662625329,203204348.0,127541209.0,62.765
IDA only,1996,12.9734905273,243008429991.48,354.0677895662,55.9665410508,53.2320645875,54.5491642128,43.4248013701,53.3412699607,3.2339286692,50.0694949804,686333061.5,512683363.5,74.9357073673
Isle of Man,1996,13.838,1007205928.23713,13979.8454930411,76.981,70.564,73.756,17.6938825081,64.0903570561,18.2157604358,51.4587497224,72047.0,34732.0,48.208
India,1996,9.419,392896866204.516,401.0467546736,61.733,60.277,60.984,37.0248809038,58.7513393304,4.2237797658,48.3049420078,979678458.0,716958086.0,73.183
Ireland,1996,8.7,75790785030.24188,20835.8973666717,78.7,73.1,75.8317073171,23.559169429,65.0643711476,11.3764594234,50.3430663494,3637510.0,1521461.0,41.827
"Iran, Islamic Republic of",1996,5.415,120403931883.348,1914.7812129098,70.748,65.692,68.07,40.7157417286,55.5151615466,3.7690967249,49.116836788,62881300.0,24469000.0,38.913
Iraq,1996,6.56,10433698621.3427,485.2584927848,68.842,63.825,66.391,44.2683325302,52.4799440816,3.2517233883,50.5703858847,21501321.0,6752920.0,31.407
Iceland,1996,7.0,7426082270.676689,27614.8770273122,81.18,76.49,78.777804878,24.1379759072,64.4683224271,11.3937016657,49.8877156454,268916.0,22059.0,8.203
Israel,1996,6.1,114866706144.061,20180.3770456889,80.0,76.3,78.1048780488,29.2628044305,60.9364509088,9.8007446607,50.6337788969,5692000.0,515524.0,9.057
Italy,1996,9.7,1314776508972.27,23122.9337219116,81.8,75.4,78.5219512195,14.5146587227,68.455699351,17.0296419262,51.5158289084,56860281.0,18774128.0,33.018
Jamaica,1996,6.975,7393891920.803581,2928.89692612,73.025,69.919,71.488,34.8939031576,58.6296092733,6.4764875691,50.5852336062,2524463.0,1240647.0,49.145
Jordan,1996,3.936,6927503526.09309,1410.1742418942,72.671,69.613,71.064,40.3808048666,57.1734015726,2.4457935608,47.1613120446,4912516.0,1069946.0,21.78
Japan,1996,7.2,4923391533851.63,39150.0396308089,83.59,77.01,80.2197560976,15.3309610641,69.4675750807,15.2014638552,50.7397735788,125757000.0,27484192.0,21.855
Kazakhstan,1996,10.66,21035357936.8796,1281.391528954,69.7,58.0,63.6,30.0718164023,63.2583633056,6.6698202921,52.1689107743,16416027.0,7232409.0,44.057
Kenya,1996,10.543,12045865396.1323,440.5270788809,56.955,53.326,55.161,47.4162556747,50.3771968407,2.2065474846,50.4071556499,27344211.0,22263930.0,81.421
Kyrgyzstan,1996,7.4,1827570586.16784,394.8569222697,71.0,62.3,66.543902439,37.5951087226,56.8732049916,5.5316862858,52.3545636292,4628437.5,2959145.5,63.934
Cambodia,1996,10.847,3506695719.5725894,324.655870983,58.4,54.132,56.346,46.1596342911,51.261877134,2.5784885749,51.9526640805,10801270.0,8891281.0,82.317
Kiribati,1996,7.801,81456842.3793677,985.885799104,64.914,61.595,63.291,41.1498078611,55.3747465884,3.4754455505,51.049357314,82623.0,51734.0,62.614
Saint Kitts and Nevis,1996,10.547,333944444.444444,7788.4283985457,69.996,64.704,67.313,31.1250787135,60.4508244513,8.4240968351,50.3789910675,42877.0,28502.0,66.474
Korea (South),1996,5.2,610167053824.007,13402.994604707,78.3,70.2,74.1512195122,22.539067968,71.4917490145,5.9691830176,48.9776790312,45524681.0,9714056.0,21.338
Kuwait,1996,2.011,31492373308.7516,18201.0958607918,77.882,74.014,75.618,33.0134752476,65.6811327172,1.3053920352,42.2302955765,1730246.0,28982.0,1.675
Latin America & Caribbean,1996,6.3592484676,1853066832058.51,4221.8922188389,72.7783314719,66.4495953921,69.5441635255,34.2369185994,60.797208852,4.9658725486,50.4126156181,438918555.0,120389023.0,27.4285564432
Lao PDR,1996,11.139,1873671550.34636,371.3418791977,58.397,55.374,56.891,43.8625944955,52.7470091485,3.390396356,49.6801718857,5045678.0,4125649.0,81.766
Lebanon,1996,4.92,13690217333.5879,3393.0509074936,73.571,70.891,72.293,34.2140626716,61.0777387918,4.7081985367,50.4422420944,4034781.0,599488.0,14.858
Liberia,1996,19.875,159400000.0,71.406524872,47.052,41.912,44.419,43.4423238753,53.5098173914,3.0478587333,50.4397056116,2232289.0,1273208.0,57.036
Libya,1996,4.187,27884615384.6154,5591.0202754456,73.369,69.487,71.284,35.187682222,61.5003469749,3.3119708032,46.0680960975,4987393.0,1194580.0,23.952
Saint Lucia,1996,6.371,788888888.888889,5244.0166508608,73.013,68.752,70.904,36.2441960561,58.3462125216,5.4095914223,50.5444175596,150436.0,107464.0,71.435
Latin America & Caribbean (excluding high income),1996,6.2868386865,2101355129053.54,4295.1849632693,73.1346933837,66.8132343831,69.9053970652,33.9676857844,60.9275026593,5.1048115563,50.3972748266,489235073.0,128886620.0,26.3461033689
Least developed countries: UN classification,1996,13.7963840655,180698970346.173,296.5157326412,54.2083039753,51.8401595191,52.9904730967,43.8860995763,52.9765478567,3.137352567,50.0828999179,609407699.0,465050255.0,76.311844407
Liechtenstein,1996,7.4,2504012993.42238,80688.7182490376,81.6,72.3,76.8365853659,18.82149212,70.9011184545,10.2773894255,50.3876461617,31033.0,25978.0,83.71
Sri Lanka,1996,6.469,13897738375.2488,776.1923710576,77.451,67.911,72.261,28.6431072005,65.2627967199,6.0940960797,50.0212733659,17905018.0,14602975.0,81.558
Low & middle income,1996,8.7750398479,5140547190595.44,1123.7646986562,66.0551721218,62.2292358138,64.0821531988,34.9466485967,60.2525400497,4.8008113536,49.4331062682,4574398178.5,2884008216.5,63.0766294779
Lesotho,1996,11.947,946112492.8448467,479.6713946257,59.157,51.652,55.232,41.650795711,54.0419287286,4.3072755604,51.3286230403,1972418.0,1625844.0,82.429
Late-demographic dividend,1996,7.3072367025,3336408333512.42,1691.6721736084,72.7931209959,66.9297445819,69.7550703895,27.5288358258,65.8366918474,6.6344723268,49.7496692402,1972254663.5,1129153331.5,57.2519030882
Lithuania,1996,11.9,8430207164.4367695,2340.6754597001,75.86,64.63,70.1080487805,21.5180577666,65.8677646806,12.6141775528,52.960931319,3601613.0,1180429.0,32.775
Luxembourg,1996,9.4,20895314657.980495,50444.3591236175,79.9,73.3,76.5195121951,18.5522860771,67.398704373,14.0490095498,50.8636294429,414225.0,71143.0,17.175
Latvia,1996,14.0,5799465288.41246,2360.1714816213,74.8,63.04,68.7765853659,20.237942427,65.8092225271,13.9528350459,53.9119290615,2457222.0,770339.0,31.35
"Macao, SAR China",1996,3.639,7176892950.39164,17289.5517956917,82.642,77.099,79.971,25.1073327789,68.0128050001,6.879862221,51.9373312467,415100.0,83.0,0.02
Morocco,1996,6.769,43161571527.6353,1596.8323974609,66.875,63.692,65.238,36.3841218557,59.727662611,3.8882155333,49.954595826,26808107.0,12861994.0,47.978
Moldova,1996,14.484,1695122173.91304,575.145455139,67.842,60.578,64.241,26.2951934125,64.0266538702,9.6781527173,53.513766804,2947293.0,1585644.0,53.8
Madagascar,1996,12.02,4931861038.70763,339.8772836636,57.282,53.876,55.522,45.3247726688,51.8453523109,2.8298750203,49.8361451758,14510711.0,10729510.0,73.942
Maldives,1996,5.319,450382327.95242095,1716.7428175372,69.451,68.091,68.702,45.0308179625,51.8027650402,3.1664169973,47.6048897071,262347.0,194116.0,73.992
Middle East & North Africa,1996,5.9250401989,796664173285.208,2713.9974401333,69.969910465,65.9948638523,67.9148449489,39.8309965622,56.4720508993,3.6969525385,48.8375843953,293539029.0,127682307.0,43.4975565711
Mexico,1996,5.235,432157945024.428,4674.3679273368,75.566,68.674,72.037,36.0380963445,59.407957815,4.5539458406,51.0540762778,92452702.0,24342796.0,26.33
Marshall Islands,1996,6.544,110858000.0,2272.8446950282,65.37,61.075,63.034,45.6422347514,51.8769861609,2.4807790876,48.7954894926,48775.0,16067.0,32.942
Middle income,1996,8.237605523,5047171457446.35,1194.4277237709,67.166176469,63.2834363201,65.1600802737,34.0885330655,60.9607728025,4.950694132,49.3509093331,4225598047.5,2627139590.5,62.2039438684
North Macedonia,1996,8.478,4642021256.30689,2306.5336695763,74.8,70.3,72.4951219512,25.0883579215,66.0281741649,8.8834679136,51.4035158329,2012553.0,817499.0,40.62
Mali,1996,17.913,2780422049.21204,267.1613124212,47.906,47.659,47.792,47.0283584238,49.5089782362,3.46266334,49.7144257811,10407278.0,7703988.0,74.025
Malta,1996,7.3,3822488329.4890294,10061.6952382544,79.8,75.0,77.3414634146,21.6107619755,66.9732782284,11.4159597961,50.5990341155,379905.0,33504.0,8.819
Myanmar,1996,10.411,6123556716.81329,141.8972675804,62.029,56.063,58.941,33.8029714382,61.392380835,4.8046477268,49.8981435695,43154860.0,31803837.0,73.697
Middle East & North Africa (excluding high income),1996,6.1175722676,380849300431.51697,1431.5029142781,69.446433104,65.3360795463,67.3493019792,40.2750001175,56.0259599846,3.6990398979,49.279452773,266048568.0,122925955.0,46.2043282842
Montenegro,1996,8.2,3617026917.411024,5847.622816343752,77.032,70.064,73.4630243902,23.6343489254,66.5572275278,9.8084235469,51.6570769182,611003.0,278544.0,45.588
Mongolia,1996,8.719,1345719472.35883,595.5810149554,63.126,57.62,60.305,38.3825100821,58.1423372342,3.4751526837,50.8520967529,2259507.0,977011.0,43.24
Mozambique,1996,17.91,4030146134.5706,244.3626510125,48.142,45.076,46.636,44.8563011748,52.3167619424,2.8269368827,51.5671020974,16492480.0,11872442.0,71.987
Mauritania,1996,9.426,2132087009.28942,904.1208797981,61.592,58.523,60.063,44.6255133179,52.3166515986,3.0578350835,50.1724842008,2358188.0,1448352.0,61.418
Mauritius,1996,6.8,4481489761.54368,3951.9449464934,74.4,66.44,70.3229268293,27.014380113,67.1043080632,5.8813118239,49.3070950363,1133996.0,644552.0,56.839
Malawi,1996,20.459,3319573749.6119,320.6627355591,45.662,41.307,43.441,46.1690829341,50.6348319722,3.1960850938,51.3287477826,10352228.0,8941323.0,86.371
Malaysia,1996,4.563,100855393910.486,4837.1689725077,74.65,70.147,72.327,35.5024130115,60.7724994145,3.725087574,48.7648996381,20850087.0,8972001.0,43.031
North America,1996,8.6412045964,8706425384132.75,29112.2451436921,79.3032707135,73.3312299362,76.2444380675,21.5371156179,66.1046026453,12.3582817368,50.5579490501,299064031.0,66776031.0,22.3283391532
Namibia,1996,10.22,3989163196.5676694,2423.3982907313,59.216,54.5,56.918,41.9756108896,54.7881709747,3.2362181357,51.7038119729,1646103.0,1147070.0,69.684
New Caledonia,1996,5.2,3606968435.99917,17592.0502745845,74.2,69.9,71.9975609756,30.4520225914,64.7648682658,4.7831091429,49.2810948428,205034.0,81040.0,39.525
Niger,1996,19.762,2405686940.0464,239.494513214,47.079,46.184,46.676,46.6990975427,51.0822434757,2.2186589817,49.6819564888,10044852.0,8452241.0,84.145
Nigeria,1996,18.757,185730236700.0,1632.7246937028,47.171,44.052,45.567,44.2414087246,52.6772380819,3.0813531934,50.0479672159,113754779.0,76528528.0,67.275
Nicaragua,1996,5.866,4308351902.78601,910.8616459173,69.046,63.032,66.052,43.0947717683,53.8625053753,3.0427228564,50.906357856,4729974.0,2148023.0,45.413
Netherlands,1996,8.9,451372549019.608,29063.6236532536,80.35,74.66,77.4356097561,18.5768956793,68.1763848617,13.246719459,50.6519905624,15530498.0,4093839.0,26.36
Norway,1996,10.0,163520109150.671,37321.9741993473,81.07,75.37,78.1504878049,19.6006764914,64.562854667,15.8364688416,50.5526651319,4381336.0,1136431.0,25.938
Nepal,1996,9.713,4521580381.47139,198.8219074353,60.907,59.063,59.981,41.4524061398,54.8461225383,3.7014713219,49.3673318995,22741862.0,20160661.0,88.65
Nauru,1996,7.317,37458801.2139605,3678.5624289463,64.558,57.833,60.504,41.1126387116,57.0558774428,1.8314838456,48.3354610626,10183.0,0.0,0.0
New Zealand,1996,7.57,70140835299.0148,18794.436039393,79.4,74.3,76.787804878,23.035232278,65.4496050749,11.5151626471,50.692769679,3732000.0,533676.0,14.3
OECD members,1996,8.3322415827,25901597346802.1,22192.1872320439,79.3178991542,72.6666312239,75.9094328229,21.7770886926,66.0763956251,12.1465156823,50.8106755845,1167149370.0,296119192.0,25.3711481362
Oman,1996,3.494,17402080624.1873,8068.0007678461,75.14,70.283,72.191,39.2500716297,58.2985229906,2.4514053797,40.806453258,2156926.0,611510.0,28.351
